bill_id,customer_id,bill_date,bill_month,bill_year,bill_amount,payment_status
31061,25,2023-01-09,January,2023,1251,Paid
31062,200,2023-07-07,July,2023,1186,Paid
31063,233,2024-02-01,February,2024,475,Paid
31064,4,2022-11-19,November,2022,807,Paid
31065,288,2022-03-30,March,2022,901,Paid
31066,173,2022-04-02,April,2022,1601,Paid
31067,184,2023-01-12,January,2023,1029,Paid
31068,251,2022-03-22,March,2022,236,Paid
31069,291,2023-10-04,October,2023,1429,Paid
31070,437,2023-08-26,August,2023,1928,Delayed
31071,286,2022-04-10,April,2022,1874,Paid
31072,359,2023-08-13,August,2023,487,Paid
31073,112,2023-07-09,July,2023,1173,Paid
31074,305,2022-05-03,May,2022,1715,Paid
31075,350,2024-03-10,March,2024,1991,Paid
31076,465,2023-01-31,January,2023,1447,Delayed
31077,339,2022-01-23,January,2022,650,Paid
31078,436,2023-10-18,October,2023,226,Failed
31079,479,2024-02-09,February,2024,900,Paid
31080,465,2023-06-03,June,2023,955,Delayed
31081,130,2022-10-04,October,2022,532,Paid
31082,187,2023-11-29,November,2023,1595,Paid
31083,421,2022-04-05,April,2022,759,Paid
31084,496,2023-01-17,January,2023,1523,Paid
31085,29,2023-01-12,January,2023,402,Delayed
31086,158,2022-01-25,January,2022,577,Paid
31087,374,2022-10-18,October,2022,1100,Paid
31088,235,2022-08-15,August,2022,1337,Delayed
31089,278,2022-06-22,June,2022,1242,Paid
31090,102,2023-10-09,October,2023,1206,Failed
31091,459,2023-03-29,March,2023,1819,Paid
31092,225,2022-10-15,October,2022,1110,Paid
31093,275,2024-03-31,March,2024,594,Paid
31094,323,2022-03-10,March,2022,1987,Paid
31095,232,2022-10-08,October,2022,1274,Paid
31096,342,2024-05-12,May,2024,1882,Paid
31097,274,2022-12-08,December,2022,1408,Paid
31098,365,2024-05-19,May,2024,1907,Paid
31099,478,2022-11-29,November,2022,551,Paid
31100,449,2024-01-13,January,2024,1336,Paid
31101,468,2023-01-21,January,2023,712,Paid
31102,113,2022-12-08,December,2022,744,Failed
31103,389,2022-11-13,November,2022,480,Paid
31104,460,2022-11-03,November,2022,871,Paid
31105,139,2024-02-09,February,2024,1392,Paid
31106,216,2022-06-22,June,2022,804,Paid
31107,314,2023-06-28,June,2023,958,Paid
31108,274,2022-07-19,July,2022,1543,Delayed
31109,328,2023-08-15,August,2023,564,Paid
31110,349,2024-05-14,May,2024,718,Delayed
31111,184,2022-03-16,March,2022,308,Paid
31112,406,2024-02-15,February,2024,1104,Paid
31113,312,2023-08-20,August,2023,1766,Paid
31114,493,2022-08-05,August,2022,1785,Paid
31115,194,2023-09-25,September,2023,1151,Paid
31116,279,2023-06-16,June,2023,878,Paid
31117,272,2023-03-25,March,2023,1800,Paid
31118,300,2023-10-23,October,2023,1765,Paid
31119,72,2022-01-07,January,2022,1157,Paid
31120,196,2024-06-07,June,2024,522,Paid
31121,270,2024-06-08,June,2024,210,Paid
31122,393,2023-01-28,January,2023,1245,Paid
31123,331,2023-08-21,August,2023,1383,Paid
31124,240,2023-01-21,January,2023,462,Paid
31125,486,2023-05-16,May,2023,1924,Paid
31126,108,2022-05-27,May,2022,578,Paid
31127,499,2022-11-12,November,2022,1975,Paid
31128,400,2023-03-30,March,2023,278,Paid
31129,397,2022-07-06,July,2022,1493,Paid
31130,292,2022-11-21,November,2022,623,Paid
31131,300,2024-03-23,March,2024,814,Delayed
31132,100,2022-11-14,November,2022,634,Paid
31133,81,2023-01-29,January,2023,1120,Paid
31134,270,2023-01-14,January,2023,1300,Paid
31135,349,2023-12-06,December,2023,1746,Paid
31136,17,2024-03-04,March,2024,993,Paid
31137,193,2023-04-19,April,2023,1333,Paid
31138,212,2023-12-01,December,2023,1189,Paid
31139,353,2022-01-18,January,2022,650,Paid
31140,126,2024-04-06,April,2024,1636,Paid
31141,310,2022-05-29,May,2022,458,Paid
31142,126,2023-07-12,July,2023,1020,Paid
31143,130,2022-01-12,January,2022,1573,Paid
31144,145,2024-01-12,January,2024,906,Paid
31145,256,2023-04-07,April,2023,1050,Paid
31146,23,2023-09-17,September,2023,1406,Paid
31147,214,2022-06-09,June,2022,856,Paid
31148,129,2024-01-09,January,2024,373,Paid
31149,12,2023-11-26,November,2023,910,Paid
31150,141,2023-07-21,July,2023,1922,Paid
31151,462,2022-09-23,September,2022,1840,Paid
31152,458,2023-07-01,July,2023,1608,Paid
31153,268,2022-03-21,March,2022,783,Delayed
31154,57,2023-06-02,June,2023,1494,Paid
31155,86,2023-10-01,October,2023,1948,Paid
31156,274,2022-03-09,March,2022,384,Paid
31157,103,2023-12-03,December,2023,850,Paid
31158,339,2022-09-01,September,2022,365,Paid
31159,350,2022-01-09,January,2022,341,Paid
31160,143,2022-06-06,June,2022,691,Paid
31161,423,2023-08-06,August,2023,270,Paid
31162,334,2023-04-09,April,2023,1566,Paid
31163,329,2023-10-08,October,2023,697,Paid
31164,453,2022-10-27,October,2022,345,Paid
31165,417,2022-11-16,November,2022,1835,Delayed
31166,176,2022-09-06,September,2022,1723,Paid
31167,133,2022-11-19,November,2022,1560,Paid
31168,344,2023-07-10,July,2023,1307,Paid
31169,264,2023-09-20,September,2023,1089,Delayed
31170,147,2023-04-07,April,2023,1005,Paid
31171,436,2023-02-02,February,2023,1044,Paid
31172,12,2023-01-28,January,2023,1365,Delayed
31173,328,2022-08-16,August,2022,1089,Paid
31174,392,2023-07-23,July,2023,1533,Paid
31175,55,2022-09-01,September,2022,1591,Delayed
31176,230,2022-02-26,February,2022,1929,Paid
31177,468,2022-05-23,May,2022,1918,Paid
31178,122,2022-07-11,July,2022,1011,Failed
31179,349,2023-06-03,June,2023,1169,Paid
31180,233,2023-02-08,February,2023,1663,Paid
31181,162,2022-10-02,October,2022,265,Paid
31182,82,2023-10-08,October,2023,1956,Delayed
31183,449,2022-02-08,February,2022,1996,Failed
31184,459,2022-07-12,July,2022,1036,Paid
31185,47,2022-11-23,November,2022,1125,Paid
31186,364,2023-04-28,April,2023,1756,Paid
31187,291,2022-01-25,January,2022,539,Failed
31188,499,2022-04-12,April,2022,1900,Paid
31189,500,2023-10-25,October,2023,300,Delayed
31190,160,2022-08-05,August,2022,1536,Paid
31191,179,2024-01-12,January,2024,1150,Paid
31192,362,2022-09-24,September,2022,1332,Paid
31193,208,2022-06-11,June,2022,1105,Paid
31194,390,2022-10-14,October,2022,1654,Paid
31195,393,2023-11-09,November,2023,540,Delayed
31196,40,2024-06-04,June,2024,1026,Paid
31197,214,2024-05-31,May,2024,1401,Delayed
31198,432,2022-09-04,September,2022,877,Paid
31199,456,2022-06-23,June,2022,332,Paid
31200,352,2023-01-31,January,2023,1252,Paid
31201,154,2022-01-09,January,2022,1073,Delayed
31202,338,2023-03-24,March,2023,1695,Paid
31203,293,2024-02-27,February,2024,1194,Paid
31204,436,2023-07-25,July,2023,583,Paid
31205,396,2023-08-20,August,2023,796,Paid
31206,166,2023-10-24,October,2023,207,Paid
31207,482,2022-11-17,November,2022,334,Paid
31208,452,2023-07-26,July,2023,1512,Paid
31209,272,2022-05-05,May,2022,1174,Paid
31210,445,2022-02-10,February,2022,1177,Paid
31211,24,2022-12-03,December,2022,1870,Paid
31212,462,2023-11-16,November,2023,1874,Paid
31213,401,2024-02-11,February,2024,241,Paid
31214,115,2022-11-22,November,2022,1327,Paid
31215,351,2023-11-16,November,2023,1253,Paid
31216,260,2022-07-05,July,2022,1904,Paid
31217,306,2022-08-29,August,2022,1895,Paid
31218,364,2022-12-05,December,2022,985,Paid
31219,226,2022-04-04,April,2022,1987,Paid
31220,102,2023-02-20,February,2023,1441,Paid
31221,486,2022-03-04,March,2022,311,Delayed
31222,131,2024-01-03,January,2024,930,Paid
31223,264,2023-06-04,June,2023,1917,Paid
31224,12,2023-12-26,December,2023,1482,Paid
31225,419,2022-07-28,July,2022,210,Paid
31226,322,2022-07-28,July,2022,1693,Delayed
31227,181,2023-01-11,January,2023,1562,Paid
31228,349,2022-03-26,March,2022,1070,Paid
31229,471,2022-07-26,July,2022,444,Paid
31230,161,2022-12-13,December,2022,1472,Paid
31231,114,2023-10-27,October,2023,1792,Delayed
31232,18,2022-06-10,June,2022,707,Paid
31233,104,2023-03-26,March,2023,1526,Delayed
31234,186,2022-04-26,April,2022,1735,Paid
31235,342,2022-12-28,December,2022,1583,Delayed
31236,462,2022-09-08,September,2022,1937,Paid
31237,93,2022-07-02,July,2022,242,Paid
31238,301,2023-11-07,November,2023,1541,Paid
31239,143,2022-11-24,November,2022,805,Failed
31240,143,2023-08-15,August,2023,1711,Paid
31241,301,2022-01-07,January,2022,1516,Paid
31242,452,2024-04-16,April,2024,707,Paid
31243,100,2023-08-22,August,2023,1743,Delayed
31244,453,2023-06-04,June,2023,1996,Delayed
31245,451,2023-01-22,January,2023,1548,Paid
31246,460,2023-01-05,January,2023,1475,Delayed
31247,62,2023-07-02,July,2023,506,Paid
31248,84,2024-02-02,February,2024,1545,Delayed
31249,428,2023-09-04,September,2023,1830,Delayed
31250,276,2022-03-20,March,2022,1065,Paid
31251,167,2024-03-08,March,2024,1110,Paid
31252,295,2024-02-22,February,2024,1864,Paid
31253,129,2022-08-09,August,2022,234,Delayed
31254,364,2023-12-09,December,2023,1839,Paid
31255,67,2024-01-08,January,2024,909,Paid
31256,47,2023-08-22,August,2023,1513,Paid
31257,457,2023-07-24,July,2023,1764,Paid
31258,374,2023-02-16,February,2023,1139,Delayed
31259,310,2023-04-24,April,2023,1827,Paid
31260,148,2023-11-13,November,2023,1711,Paid
31261,250,2022-04-07,April,2022,1159,Failed
31262,137,2023-10-20,October,2023,434,Paid
31263,95,2023-01-28,January,2023,1607,Paid
31264,238,2023-04-13,April,2023,559,Delayed
31265,284,2024-05-19,May,2024,1929,Paid
31266,320,2023-01-06,January,2023,1478,Paid
31267,35,2023-01-28,January,2023,1066,Paid
31268,296,2022-01-18,January,2022,1581,Failed
31269,381,2022-07-03,July,2022,1765,Paid
31270,358,2022-05-23,May,2022,223,Paid
31271,492,2023-04-08,April,2023,1013,Delayed
31272,258,2023-05-22,May,2023,1150,Paid
31273,387,2022-11-30,November,2022,1182,Paid
31274,270,2022-03-03,March,2022,1223,Paid
31275,465,2022-06-12,June,2022,556,Failed
31276,355,2023-07-06,July,2023,316,Paid
31277,324,2022-06-28,June,2022,677,Paid
31278,47,2022-08-23,August,2022,875,Delayed
31279,94,2024-06-10,June,2024,657,Paid
31280,182,2022-03-01,March,2022,311,Paid
31281,442,2022-08-16,August,2022,1417,Paid
31282,190,2022-08-27,August,2022,1874,Paid
31283,487,2023-07-22,July,2023,1242,Paid
31284,51,2024-01-16,January,2024,1508,Paid
31285,206,2022-03-25,March,2022,656,Paid
31286,304,2023-12-16,December,2023,1965,Paid
31287,411,2022-02-10,February,2022,1670,Failed
31288,333,2023-03-14,March,2023,1813,Paid
31289,439,2023-06-13,June,2023,838,Paid
31290,125,2022-04-15,April,2022,1307,Paid
31291,212,2023-06-21,June,2023,774,Paid
31292,369,2023-01-17,January,2023,1496,Paid
31293,433,2022-04-03,April,2022,998,Paid
31294,408,2022-08-03,August,2022,601,Failed
31295,266,2023-11-27,November,2023,451,Paid
31296,135,2022-08-05,August,2022,1828,Paid
31297,372,2023-05-04,May,2023,1156,Paid
31298,273,2022-05-31,May,2022,860,Paid
31299,278,2023-01-09,January,2023,1587,Paid
31300,315,2024-02-09,February,2024,867,Paid
31301,300,2024-03-23,March,2024,926,Failed
31302,267,2023-09-23,September,2023,1482,Delayed
31303,298,2023-03-25,March,2023,1656,Delayed
31304,279,2023-02-26,February,2023,810,Paid
31305,374,2023-10-08,October,2023,1344,Paid
31306,444,2022-07-26,July,2022,1866,Paid
31307,214,2024-02-14,February,2024,1739,Paid
31308,488,2024-04-13,April,2024,1177,Paid
31309,62,2023-12-03,December,2023,1967,Delayed
31310,367,2023-11-01,November,2023,877,Paid
31311,54,2023-04-22,April,2023,767,Paid
31312,338,2023-08-11,August,2023,741,Paid
31313,375,2023-07-18,July,2023,717,Delayed
31314,365,2022-08-14,August,2022,210,Paid
31315,474,2023-08-29,August,2023,208,Paid
31316,112,2024-03-14,March,2024,355,Paid
31317,478,2024-03-13,March,2024,1210,Paid
31318,269,2024-04-13,April,2024,923,Delayed
31319,324,2023-11-21,November,2023,339,Paid
31320,107,2023-01-22,January,2023,837,Delayed
31321,283,2022-04-16,April,2022,1932,Paid
31322,371,2022-03-17,March,2022,335,Paid
31323,168,2023-05-31,May,2023,889,Paid
31324,74,2024-04-02,April,2024,1822,Paid
31325,236,2022-07-06,July,2022,1622,Paid
31326,92,2023-06-16,June,2023,641,Paid
31327,85,2022-10-02,October,2022,1664,Paid
31328,372,2023-10-10,October,2023,1489,Paid
31329,75,2023-06-23,June,2023,874,Paid
31330,84,2023-10-10,October,2023,1983,Paid
31331,245,2022-01-18,January,2022,1735,Paid
31332,228,2022-10-12,October,2022,475,Paid
31333,83,2022-10-29,October,2022,1906,Paid
31334,500,2023-05-14,May,2023,1578,Delayed
31335,394,2024-06-17,June,2024,1131,Paid
31336,15,2023-10-12,October,2023,1996,Delayed
31337,493,2024-01-14,January,2024,1876,Paid
31338,301,2024-05-01,May,2024,1315,Paid
31339,181,2022-09-14,September,2022,839,Paid
31340,338,2022-08-07,August,2022,1358,Paid
31341,263,2023-10-06,October,2023,309,Delayed
31342,414,2022-12-23,December,2022,1266,Paid
31343,78,2022-09-13,September,2022,1089,Paid
31344,229,2023-08-31,August,2023,409,Paid
31345,233,2022-10-01,October,2022,541,Delayed
31346,30,2022-11-30,November,2022,1581,Paid
31347,374,2024-03-23,March,2024,559,Delayed
31348,155,2023-01-03,January,2023,1553,Paid
31349,305,2022-01-15,January,2022,609,Paid
31350,185,2022-06-28,June,2022,957,Paid
31351,448,2023-03-21,March,2023,706,Paid
31352,357,2024-02-11,February,2024,430,Paid
31353,447,2023-02-07,February,2023,1002,Paid
31354,432,2022-03-29,March,2022,1392,Paid
31355,255,2022-04-04,April,2022,1626,Paid
31356,169,2024-04-24,April,2024,432,Paid
31357,81,2023-01-30,January,2023,718,Paid
31358,286,2022-01-28,January,2022,500,Failed
31359,210,2023-11-28,November,2023,298,Delayed
31360,259,2022-03-16,March,2022,451,Paid
31361,476,2022-02-23,February,2022,506,Delayed
31362,37,2022-11-17,November,2022,992,Delayed
31363,286,2023-07-13,July,2023,1001,Paid
31364,54,2024-01-30,January,2024,1922,Paid
31365,469,2022-08-22,August,2022,585,Paid
31366,369,2023-09-22,September,2023,1345,Delayed
31367,212,2024-02-11,February,2024,330,Delayed
31368,342,2022-08-18,August,2022,1458,Paid
31369,484,2024-03-12,March,2024,419,Paid
31370,100,2024-01-23,January,2024,260,Paid
31371,85,2022-11-28,November,2022,1030,Paid
31372,472,2023-11-25,November,2023,1912,Paid
31373,213,2023-04-17,April,2023,930,Paid
31374,391,2022-11-13,November,2022,601,Paid
31375,264,2022-04-11,April,2022,369,Paid
31376,470,2022-09-05,September,2022,1698,Delayed
31377,86,2023-04-25,April,2023,1816,Paid
31378,63,2024-05-10,May,2024,212,Paid
31379,447,2024-05-19,May,2024,468,Paid
31380,192,2023-09-17,September,2023,1276,Paid
31381,414,2022-08-09,August,2022,1635,Paid
31382,482,2022-12-05,December,2022,1353,Delayed
31383,93,2022-05-28,May,2022,1832,Paid
31384,253,2024-06-17,June,2024,911,Paid
31385,138,2022-10-23,October,2022,1070,Paid
31386,453,2023-12-10,December,2023,1995,Paid
31387,49,2023-02-11,February,2023,1955,Paid
31388,121,2023-08-04,August,2023,1739,Delayed
31389,39,2023-04-23,April,2023,827,Paid
31390,34,2024-03-10,March,2024,499,Paid
31391,358,2022-01-24,January,2022,902,Paid
31392,266,2024-05-30,May,2024,625,Paid
31393,9,2024-06-01,June,2024,314,Paid
31394,188,2022-07-05,July,2022,434,Paid
31395,96,2022-06-19,June,2022,1785,Paid
31396,133,2024-03-13,March,2024,211,Paid
31397,163,2023-06-28,June,2023,1440,Paid
31398,139,2023-03-14,March,2023,1551,Delayed
31399,298,2022-10-28,October,2022,266,Paid
31400,80,2023-11-19,November,2023,941,Paid
31401,91,2022-12-30,December,2022,1035,Paid
31402,256,2024-05-03,May,2024,589,Delayed
31403,148,2022-06-26,June,2022,1314,Paid
31404,179,2024-03-12,March,2024,302,Delayed
31405,257,2022-05-24,May,2022,1812,Paid
31406,218,2023-06-07,June,2023,1648,Paid
31407,267,2023-04-26,April,2023,812,Delayed
31408,317,2023-05-07,May,2023,971,Paid
31409,79,2023-05-01,May,2023,502,Paid
31410,167,2023-10-21,October,2023,577,Paid
31411,104,2024-05-09,May,2024,1960,Paid
31412,304,2023-04-30,April,2023,1570,Paid
31413,338,2024-04-01,April,2024,1397,Paid
31414,472,2023-03-13,March,2023,1614,Paid
31415,284,2022-07-14,July,2022,1627,Paid
31416,345,2023-04-11,April,2023,286,Paid
31417,215,2022-03-17,March,2022,828,Paid
31418,75,2022-06-09,June,2022,1875,Paid
31419,225,2023-05-05,May,2023,823,Failed
31420,336,2022-04-10,April,2022,1471,Paid
31421,292,2022-04-26,April,2022,564,Paid
31422,343,2023-01-15,January,2023,1311,Paid
31423,70,2023-08-18,August,2023,1075,Paid
31424,363,2024-04-03,April,2024,930,Paid
31425,190,2022-03-04,March,2022,1197,Paid
31426,472,2022-05-12,May,2022,654,Paid
31427,486,2022-09-05,September,2022,613,Failed
31428,106,2023-01-30,January,2023,653,Paid
31429,70,2023-10-05,October,2023,1785,Delayed
31430,10,2023-02-15,February,2023,709,Paid
31431,214,2024-05-28,May,2024,1397,Paid
31432,471,2023-03-04,March,2023,1133,Paid
31433,5,2023-11-01,November,2023,407,Paid
31434,28,2023-12-29,December,2023,1851,Paid
31435,315,2022-11-22,November,2022,1535,Paid
31436,393,2023-06-30,June,2023,569,Failed
31437,423,2023-01-10,January,2023,1535,Paid
31438,241,2024-04-23,April,2024,1001,Paid
31439,236,2022-10-25,October,2022,1726,Paid
31440,92,2022-10-06,October,2022,284,Paid
31441,318,2022-10-23,October,2022,845,Paid
31442,345,2023-06-11,June,2023,1019,Paid
31443,363,2022-04-25,April,2022,1488,Delayed
31444,38,2023-05-08,May,2023,1442,Paid
31445,219,2022-02-26,February,2022,493,Paid
31446,152,2024-05-28,May,2024,1920,Paid
31447,192,2022-05-22,May,2022,704,Paid
31448,121,2023-12-20,December,2023,1385,Paid
31449,491,2023-10-14,October,2023,1349,Delayed
31450,171,2023-09-11,September,2023,1025,Paid
31451,110,2024-06-03,June,2024,315,Paid
31452,144,2024-03-13,March,2024,1628,Paid
31453,66,2023-02-13,February,2023,847,Paid
31454,322,2022-03-19,March,2022,1990,Delayed
31455,197,2022-01-02,January,2022,554,Delayed
31456,46,2024-02-25,February,2024,974,Paid
31457,149,2022-02-04,February,2022,1221,Paid
31458,60,2024-02-16,February,2024,1444,Paid
31459,138,2023-01-30,January,2023,1598,Paid
31460,490,2022-08-06,August,2022,1536,Delayed
31461,402,2022-03-08,March,2022,1372,Paid
31462,90,2022-03-10,March,2022,434,Paid
31463,212,2022-08-12,August,2022,1390,Paid
31464,169,2022-12-27,December,2022,1717,Delayed
31465,420,2023-04-03,April,2023,1634,Paid
31466,113,2022-10-21,October,2022,1140,Paid
31467,341,2022-11-22,November,2022,267,Paid
31468,66,2022-07-22,July,2022,1943,Paid
31469,302,2023-08-16,August,2023,1786,Paid
31470,118,2023-08-01,August,2023,465,Paid
31471,225,2022-10-24,October,2022,1372,Failed
31472,151,2024-03-02,March,2024,1013,Paid
31473,167,2022-09-18,September,2022,1747,Paid
31474,95,2024-02-28,February,2024,580,Delayed
31475,260,2023-06-02,June,2023,1834,Delayed
31476,425,2022-05-12,May,2022,572,Paid
31477,259,2024-02-16,February,2024,883,Paid
31478,485,2022-11-21,November,2022,704,Delayed
31479,437,2022-03-09,March,2022,435,Paid
31480,120,2022-05-06,May,2022,1809,Paid
31481,74,2023-01-28,January,2023,523,Paid
31482,362,2023-02-06,February,2023,1472,Paid
31483,96,2024-04-06,April,2024,788,Paid
31484,292,2023-11-14,November,2023,988,Paid
31485,177,2022-12-02,December,2022,1673,Delayed
31486,27,2022-01-29,January,2022,952,Paid
31487,309,2023-11-19,November,2023,1644,Paid
31488,305,2024-03-29,March,2024,1438,Paid
31489,211,2024-03-14,March,2024,930,Paid
31490,358,2024-04-23,April,2024,219,Paid
31491,257,2023-09-09,September,2023,503,Paid
31492,474,2022-02-14,February,2022,1575,Paid
31493,430,2022-04-11,April,2022,802,Paid
31494,318,2022-08-14,August,2022,1005,Paid
31495,205,2023-02-23,February,2023,1208,Paid
31496,355,2023-09-08,September,2023,643,Delayed
31497,66,2022-09-19,September,2022,1834,Paid
31498,150,2024-02-04,February,2024,464,Paid
31499,167,2023-11-08,November,2023,1195,Failed
31500,220,2022-10-19,October,2022,1390,Delayed
31501,300,2022-07-31,July,2022,1280,Paid
31502,258,2023-10-18,October,2023,799,Paid
31503,203,2023-04-01,April,2023,1907,Paid
31504,240,2022-08-24,August,2022,1879,Paid
31505,315,2023-06-18,June,2023,831,Delayed
31506,229,2022-03-10,March,2022,955,Paid
31507,474,2023-08-04,August,2023,522,Paid
31508,156,2022-09-03,September,2022,1488,Delayed
31509,218,2023-07-29,July,2023,1284,Paid
31510,465,2022-08-25,August,2022,287,Paid
31511,195,2022-11-27,November,2022,614,Delayed
31512,270,2022-12-29,December,2022,1806,Paid
31513,16,2023-06-15,June,2023,880,Paid
31514,241,2024-01-13,January,2024,1907,Paid
31515,252,2023-04-10,April,2023,1298,Delayed
31516,51,2022-08-17,August,2022,603,Paid
31517,356,2024-05-19,May,2024,563,Paid
31518,28,2023-05-24,May,2023,1892,Paid
31519,476,2023-01-17,January,2023,1947,Failed
31520,53,2022-05-07,May,2022,583,Paid
31521,308,2023-10-20,October,2023,207,Paid
31522,116,2024-05-31,May,2024,713,Paid
31523,409,2024-04-20,April,2024,1591,Failed
31524,441,2022-04-24,April,2022,507,Paid
31525,9,2022-08-31,August,2022,368,Paid
31526,11,2022-05-25,May,2022,345,Paid
31527,485,2023-07-07,July,2023,1740,Paid
31528,107,2023-11-04,November,2023,1905,Paid
31529,301,2023-03-15,March,2023,278,Paid
31530,341,2022-12-04,December,2022,1002,Paid
31531,258,2023-02-12,February,2023,650,Paid
31532,182,2023-08-12,August,2023,1688,Paid
31533,418,2022-06-17,June,2022,1958,Paid
31534,170,2024-03-06,March,2024,1176,Paid
31535,461,2023-09-14,September,2023,1005,Paid
31536,325,2023-12-08,December,2023,1777,Paid
31537,139,2024-01-10,January,2024,955,Paid
31538,285,2022-06-16,June,2022,1634,Paid
31539,111,2023-06-17,June,2023,1784,Paid
31540,92,2022-06-14,June,2022,493,Paid
31541,220,2023-10-04,October,2023,1352,Paid
31542,5,2022-09-19,September,2022,1986,Paid
31543,20,2023-07-18,July,2023,1387,Delayed
31544,101,2022-09-18,September,2022,811,Delayed
31545,295,2022-06-24,June,2022,1081,Delayed
31546,458,2024-03-21,March,2024,648,Failed
31547,416,2022-04-06,April,2022,1729,Delayed
31548,157,2022-12-23,December,2022,267,Paid
31549,450,2023-01-05,January,2023,754,Paid
31550,383,2023-07-06,July,2023,1107,Paid
31551,1,2023-12-22,December,2023,1884,Paid
31552,212,2022-05-22,May,2022,698,Failed
31553,119,2024-02-09,February,2024,1357,Paid
31554,385,2022-06-16,June,2022,1028,Paid
31555,260,2023-12-04,December,2023,700,Paid
31556,399,2022-11-15,November,2022,1172,Failed
31557,175,2023-09-23,September,2023,1567,Paid
31558,414,2023-10-20,October,2023,928,Paid
31559,134,2024-05-11,May,2024,1099,Paid
31560,102,2022-12-01,December,2022,858,Delayed
31561,385,2023-04-19,April,2023,1860,Delayed
31562,455,2023-10-03,October,2023,959,Delayed
31563,62,2022-05-25,May,2022,252,Paid
31564,448,2022-02-23,February,2022,530,Paid
31565,389,2022-05-02,May,2022,1157,Paid
31566,54,2022-05-04,May,2022,1642,Delayed
31567,305,2022-06-16,June,2022,1957,Paid
31568,7,2024-04-13,April,2024,1943,Paid
31569,356,2023-10-17,October,2023,854,Paid
31570,3,2022-01-22,January,2022,511,Paid
31571,332,2022-10-03,October,2022,1360,Paid
31572,379,2024-05-10,May,2024,553,Paid
31573,445,2023-02-12,February,2023,1724,Paid
31574,335,2023-04-27,April,2023,423,Paid
31575,468,2022-10-26,October,2022,812,Paid
31576,425,2022-10-04,October,2022,297,Failed
31577,149,2024-03-26,March,2024,505,Paid
31578,288,2022-11-18,November,2022,993,Paid
31579,12,2022-04-25,April,2022,589,Paid
31580,485,2022-09-29,September,2022,1313,Paid
31581,104,2022-06-17,June,2022,572,Paid
31582,111,2024-02-28,February,2024,402,Paid
31583,263,2023-03-12,March,2023,1972,Paid
31584,435,2024-05-18,May,2024,807,Paid
31585,173,2022-09-21,September,2022,831,Failed
31586,95,2022-09-07,September,2022,1339,Paid
31587,321,2023-04-07,April,2023,264,Paid
31588,444,2024-05-27,May,2024,329,Paid
31589,203,2023-03-15,March,2023,977,Paid
31590,45,2024-02-06,February,2024,1099,Delayed
31591,34,2022-12-08,December,2022,1026,Paid
31592,211,2023-04-11,April,2023,1608,Paid
31593,395,2022-02-27,February,2022,290,Paid
31594,225,2022-01-05,January,2022,1299,Paid
31595,417,2023-09-15,September,2023,1972,Paid
31596,264,2024-05-26,May,2024,1474,Paid
31597,301,2024-03-08,March,2024,937,Paid
31598,456,2024-05-12,May,2024,1542,Failed
31599,226,2022-09-22,September,2022,851,Paid
31600,104,2022-09-06,September,2022,252,Paid
31601,475,2022-04-05,April,2022,1874,Paid
31602,221,2024-05-12,May,2024,856,Paid
31603,334,2024-03-19,March,2024,1367,Paid
31604,418,2024-03-29,March,2024,877,Paid
31605,301,2023-11-28,November,2023,1308,Paid
31606,123,2023-04-02,April,2023,1363,Paid
31607,485,2024-01-11,January,2024,243,Paid
31608,449,2022-11-13,November,2022,1862,Delayed
31609,457,2024-02-13,February,2024,315,Delayed
31610,436,2022-04-29,April,2022,345,Delayed
31611,394,2024-01-16,January,2024,857,Failed
31612,222,2024-03-04,March,2024,1243,Paid
31613,43,2022-07-21,July,2022,734,Paid
31614,210,2024-02-13,February,2024,1380,Delayed
31615,337,2022-02-22,February,2022,1698,Delayed
31616,454,2022-11-13,November,2022,1270,Paid
31617,11,2023-11-04,November,2023,617,Paid
31618,216,2022-09-01,September,2022,1332,Paid
31619,164,2022-04-04,April,2022,1211,Paid
31620,225,2023-07-06,July,2023,769,Paid
31621,225,2022-10-07,October,2022,1196,Paid
31622,246,2022-04-02,April,2022,1751,Paid
31623,146,2024-03-23,March,2024,1526,Paid
31624,191,2022-02-07,February,2022,680,Paid
31625,261,2023-02-17,February,2023,1789,Paid
31626,287,2022-08-31,August,2022,1359,Failed
31627,16,2022-12-30,December,2022,1299,Paid
31628,194,2023-10-10,October,2023,468,Paid
31629,9,2022-03-05,March,2022,1120,Paid
31630,2,2024-05-04,May,2024,890,Paid
31631,293,2024-05-24,May,2024,1307,Delayed
31632,84,2022-07-20,July,2022,1010,Paid
31633,443,2022-11-03,November,2022,1690,Delayed
31634,209,2024-02-13,February,2024,1873,Delayed
31635,58,2022-06-24,June,2022,1904,Paid
31636,473,2023-11-20,November,2023,440,Paid
31637,339,2023-08-20,August,2023,1129,Paid
31638,106,2023-11-03,November,2023,1286,Paid
31639,136,2023-11-25,November,2023,1462,Paid
31640,308,2023-07-02,July,2023,1317,Delayed
31641,331,2024-05-06,May,2024,1880,Paid
31642,461,2022-04-09,April,2022,596,Paid
31643,77,2022-08-14,August,2022,1086,Paid
31644,457,2023-07-03,July,2023,247,Paid
31645,325,2022-09-30,September,2022,1675,Delayed
31646,210,2024-02-23,February,2024,343,Paid
31647,232,2022-07-05,July,2022,1115,Paid
31648,125,2023-03-28,March,2023,596,Paid
